Front Card Printing Unique ID	Front Card Name	Front Card Printing	Back Card Printing Unique ID	Back Card Name	Back Card Printing	Is DFC		
WDWKgDW9wpGnBkWQnQQg9	Sacred Art: Undercurrent Desires	FAB232 - N	mdGz6CWBbmPFgMRCjzwrt	Inner Chi	FAB232 - N	Yes		
8rbwqCChb87CCPKrBqDPr	Sacred Art: Jade Tiger Domain	FAB233 - N	JQdhBpzkQQCbttK8jK8FB	Inner Chi	FAB233 - N	Yes		
mNKpGb7z7NDdw99zg9tzb	Sacred Art: Immortal Lunar Shrine	FAB234 - N	g6Kn6kC7MwcJgzLDKqtdC	Inner Chi	FAB234 - N	Yes		
zkwtMrCw8C6kjNTMWdGzr	Kayo, Armed and Dangerous	HVY001 - N (Marvel CF Front)	FRC6K6BTNtzrrF6RRcwKc	Kayo, Armed and Dangerous	HVY001 - N (Marvel CF Back)	No		
qwtffKTM6prpL8pGzTGjB	Kayo	HVY002 - N	HHtk8TzmNDtWzw9ThR7DF	Rhinar	HVY004 - N	No		
qCfgNGJgKLqmHnd6McnkK	Kayo	HVY002 - N (Marvel CF Front)	tLJtc7LTWR9pqp9DFGtPM	Kayo	HVY002 - N (Marvel CF Back)	No		
w7KWfqwzwWDRDhKqcMMCF	Mandible Claw	HVY005 - N	ftd7mWfqNJgJDdbkGNqqF	High Riser	HVY049 - N	No		
w7KWfqwzwWDRDhKqcMMCF	Mandible Claw	HVY005 - N	wpQMbCNRJrKzjgBGMp7nm	Cintari Saber	HVY094 - N	No		
CRQj8LHNrqTBT6pb7zB6z	Betsy, Skin in the Game	HVY045 - N (Marvel CF Front)	t6MBPQL8MT7GBMTDcjPKb	Betsy, Skin in the Game	HVY045 - N (Marvel CF Back)	No		
9nhT7f6wqFTnWnKpGpGnh	Betsy	HVY046 - N	TnPLc88GKqMJtkNPdNpm9	Victor Goldmane	HVY048 - N	No		
dntcwCbmhHqD7dcKJhCwQ	Betsy	HVY046 - N (Marvel CF Front)	zwktDMjg9FndkBhPQgGBg	Betsy	HVY046 - N (Marvel CF Back)	No		
ftd7mWfqNJgJDdbkGNqqF	High Riser	HVY049 - N	wpQMbCNRJrKzjgBGMp7nm	Cintari Saber	HVY094 - N	No		
gQPNPJD7WGcw6Tt68MTtc	Kassai of the Golden Sand	HVY090 - N (Marvel CF Front)	JCFgtBGRdKtHDrQwQHLfD	Kassai of the Golden Sand	HVY090 - N (Marvel CF Back)	No		
c8W6MbTM9mfQqhdwHjwMK	Kassai	HVY091 - N	LmrDKHwrR7mwBcQ8mB7rt	Olympia	HVY093 - N	No		
mT6NcjPQMNRhdgRgnfnML	Kassai	HVY091 - N (Marvel CF Front)	M6cMFtJqgFtHK7QWqNLq6	Kassai	HVY091 - N (Marvel CF Back)	No		
Fq6kGRqnnqmLGG8fz9qk7	Olympia, Prized Fighter	HVY092 - N (Marvel CF Front)	6KgBNNDCww6WL98w7CTTF	Olympia, Prized Fighter	HVY092 - N (Marvel CF Back)	No		
tRdndDbzcKDtMPK7RpW6K	Olympia	HVY093 - N (Marvel CF Front)	wDPFHkbGwd6hRQnTF8LDN	Olympia	HVY093 - N (Marvel CF Back)	No		
8wrrcrJfMC8PwgWHzDphK	Agility	HVY240 - N	PHbRQP8kwz8zfhh8DPWhL	Gold	HVY243 - N	No		
WntwMmRpfdHzPjTh7tPkN	Might	HVY241 - N	WHhhTjLfkJk7LLTWHtDfB	Vigor	HVY242 - N	No		
7dfgnjKBmFTtNR8dgkKpW	Agility	KSI028 - N	DNGMkqQcjHdtMbWL7jm8P	Gold	KSI030 - N	No		
p6RgLJj9FKNTzWLLqWJNn	Vigor	KSI029 - N	DNGMkqQcjHdtMbWL7jm8P	Gold	KSI030 - N	No		
